name,iata_code,iso_region,type
Hornepayne Municipal Airport,YHN,CA-ON,medium_airport
Hopedale Airport,YHO,CA-NL,medium_airport
Chevery Airport,YHR,CA-QC,medium_airport
Haines Junction Airport,YHT,CA-YT,medium_airport
Montr̩al / Saint-Hubert Airport,YHU,CA-QC,medium_airport
Hay River / Merlyn Carter Airport,YHY,CA-NT,medium_airport
Halifax / Stanfield International Airport,YHZ,CA-NS,large_airport
Atikokan Municipal Airport,YIB,CA-ON,medium_airport
Digby / Annapolis Regional Airport,YDG,CA-NS,medium_airport
St Augustin Airport,YIF,CA-QC,medium_airport
Ivujivik Airport,YIK,CA-QC,medium_airport
Pond Inlet Airport,YIO,CA-NU,medium_airport
Island Lake Airport,YIV,CA-MB,medium_airport
Jasper Airport,YJA,CA-AB,small_airport
Fort Liard Airport,YJF,CA-NT,medium_airport
St Jean Airport,YJN,CA-QC,medium_airport
Stephenville Airport,YJT,CA-NL,medium_airport
Kamloops Airport,YKA,CA-BC,medium_airport
Collins Bay Airport,YKC,CA-SK,small_airport
Aklavik/Freddie Carmichael Airport,LAK,CA-NT,medium_airport
Waterloo Airport,YKF,CA-ON,medium_airport
Kangiqsujuaq (Wakeham Bay) Airport,YWB,CA-QC,medium_airport
Key Lake Airport,YKJ,CA-SK,medium_airport
Schefferville Airport,YKL,CA-QC,medium_airport
Kincardine Municipal Airport,YKD,CA-ON,small_airport
Akulivik Airport,AKV,CA-QC,medium_airport
Waskaganish Airport,YKQ,CA-QC,medium_airport
Kirkland Lake Airport,YKX,CA-ON,medium_airport
Kindersley Airport,YKY,CA-SK,medium_airport
Buttonville Municipal Airport,YKZ,CA-ON,medium_airport
Aupaluk Airport,YPJ,CA-QC,medium_airport
Lac La Biche Airport,YLB,CA-AB,small_airport
Kimmirut Airport,YLC,CA-NU,medium_airport
Chapleau Airport,YLD,CA-ON,medium_airport
Lansdowne House Airport,YLH,CA-ON,medium_airport
Meadow Lake Airport,YLJ,CA-SK,medium_airport
Lutselk'e Airport,YSG,CA-NT,medium_airport
Lloydminster Airport,YLL,CA-AB,medium_airport
La Tuque Airport,YLQ,CA-QC,small_airport
Leaf Rapids Airport,YLR,CA-MB,medium_airport
Barrie-Orillia (Lake Simcoe Regional Airport),YLK,CA-ON,small_airport
Alert Airport,YLT,CA-NU,medium_airport
Kangiqsualujjuaq (Georges River) Airport,XGR,CA-QC,medium_airport
Kelowna International Airport,YLW,CA-BC,medium_airport
Chatham Seaplane Base,CYM,US-AK,seaplane_base
Mayo Airport,YMA,CA-YT,medium_airport
Matane Airport,YME,CA-QC,medium_airport
Manitouwadge Airport,YMG,CA-ON,medium_airport
Mary's Harbour Airport,YMH,CA-NL,medium_airport
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,CA-SK,medium_airport
Charlevoix Airport,YML,CA-QC,medium_airport
Fort McMurray Airport,YMM,CA-AB,medium_airport
Moosonee Airport,YMO,CA-ON,medium_airport
Chapais Airport,YMT,CA-QC,medium_airport
Umiujaq Airport,YUD,CA-QC,medium_airport
Maniwaki Airport,YMW,CA-QC,small_airport
Montreal International (Mirabel) Airport,YMX,CA-QC,medium_airport
Natashquan Airport,YNA,CA-QC,medium_airport
Wemindji Airport,YNC,CA-QC,medium_airport
Ottawa / Gatineau Airport,YND,CA-QC,medium_airport
Norway House Airport,YNE,CA-MB,medium_airport
